NO,Name,N1,N2,N3,N4,N5,N6,N7,N8
1,꿩불고기,368.8,39.7,33.5,8.5,1264.31,16.9,106.18,1.9
2,닭갈비,595.61,44.9,45.9,25.8,1535.83,21.2,193.4,6
3,닭갈비,558.47,23.1,45.5,31.6,1016.94,8.5,217.67,11.3
4,닭꼬치,176.72,13.35,11.56,8.57,286.91,3.15,31.44,2.32
5,더덕구이,184,31.1,3.1,5.2,743.37,11.6,0.12,0.8
6,도미구이,397,2.1,61.1,16.5,1582.17,0,211.24,3.8
7,돼지갈비,240.32,8.1,19.5,14.4,404.66,4.5,49.34,4.7
8,병어구이,488,0.2,54.6,30.8,1567.94,0,198.51,8.9
9,불고기,395.29,7.8,34.4,25.2,560.71,7.9,68.85,6.6
10,붕장어소금구이,296.54,11.6,26,16.2,124.75,0.4,167.07,3.6
11,소양념갈비구이,989.15,26.2,60.1,71.6,1378.45,13.9,186.63,27.2
12,양념왕갈비,480.81,13.7,27.1,35.3,548.76,6.8,58.52,13
13,양념장어구이,433.35,8.8,30.77,30.56,704.64,4.18,215.24,7.1
14,임연수구이,494,3.5,53.8,29.4,1568.96,0,212.61,6.1
15,짚불구이곰장어,326.21,2.3,42.7,16.2,826.79,1.2,341.83,2.8
16,햄버그스테이크,457.7,20.76,26.96,29.65,950.22,5.33,70.28,9.41
17,황태구이,437.57,26.9,47.8,15.4,1135.33,14.2,211.58,2.4
18,훈제오리,797.14,12.08,43.06,64.07,1220.37,0.27,171,15.98
19,게국지,415.25,31.7,44.9,12.1,4047.26,10.8,388.15,2
20,곰치국,419.29,23.9,54.3,11.8,3802.06,2.8,476.47,1.4
21,굴국밥,683,88.4,42.4,17.8,1635.39,0.3,518.37,3.9
22,김치국,89,10.5,5.4,2.8,1642.08,2.9,0,0.3
23,떡만둣국,624.92,110.71,20.06,11.32,1980.19,0.16,122.42,3.44
24,만둣국,434.05,47.83,21.43,17.44,2367.99,3.05,94.52,4.24
25,맑은감자국,221,34.6,8.3,5.5,1712.29,5.2,5.46,0.2
26,매생이국,119,13.4,10,2.8,1420.3,0.4,6.62,0.6
27,무된장국,104,14.7,6.1,2.4,1741.46,5.9,0,0.3
28,미소된장국,38,2.8,2.8,1.8,517.03,0.7,0,0.2
29,바지락조개국,157,10.1,22,3.1,1596.17,1.3,89.36,0.6
30,뼈다귀해장국,714,23.4,74.6,35.7,3088.21,5.7,321.72,14.3
31,선지해장국,312,16.7,49.3,5.4,3074.53,3.9,230.52,2.7
32,소고기무국,123,7.8,14.2,4,1067.02,3.5,38.43,1.3
33,소고기미역국,151,7.7,18.1,5.3,1908.91,0,42.18,2
34,순대국,540.3,17.26,43.52,33.02,1504.04,0,246,10.98
35,시래기된장국,99,11,6.7,3.1,1523.66,1.3,0,0.3
36,올갱이국,144.26,13,13.7,4.2,2017.16,1.6,85.36,0.8
37,우거지해장국,154.38,13.5,11.9,5.9,2049.59,2.5,22.37,1.2
38,우렁된장국,245,19.2,24.6,7.7,2134.21,3.6,105.38,1.1
39,탕국,92.15,0.24,13.18,4.27,656.75,0.08,30.12,1.01
40,홍합미역국,167,11.6,19.7,4.7,2043.68,0,58.4,0.9
41,황태해장국,181.7,5.7,24.5,6.8,1533.09,1.5,150.3,1.1
42,고추잡채,256.77,26.17,10.99,12.01,828.55,2.09,39.26,2.11
43,난자완스,346.25,19.15,21.63,20.35,703.23,0.49,76.76,4.59
44,도토리묵말이,462.39,89.7,6.8,8.5,3206.03,6.3,0,1.2
45,라조기,398.99,26.23,20.66,23.49,648.52,0.15,90.58,5.15
46,물회,529.36,55.3,34.4,18.9,2095.9,20,120.26,2.8
47,생선물회,577.97,82.5,34.3,12.3,2779.74,52,101.88,2
48,소고기샤브샤브,263.75,14.7,29.1,9.8,1122.4,2.4,76.02,3.7
49,오징어순대,466.86,58.3,45.7,5.6,1258.71,0.4,517.44,1.4
50,초당순두부,522.69,15.8,49.1,29.2,1203.36,0.9,0,3.8
51,해파리냉채,91,13.4,6.2,1.4,508.77,11.4,40.33,0.3
52,고들빼기,55.53,10.93,1.58,0.61,742.43,2.84,2.98,0.07
53,열무얼갈이김치,17.68,2.61,1.07,0.33,339.9,0.46,1.03,0.04
54,미나리나물,29.53,2.24,1.02,1.83,150.33,0,0,0.25
55,취나물,74.1,3.31,1.37,6.15,281.86,0,0,0.84
56,콩나물,25.34,0.94,1.68,1.65,213.95,0.02,0,0.22
57,경단(깨),319.47,74.22,4.44,0.54,180,26.64,0,0.46
58,경단(콩),314.32,74.03,3.51,0.46,225.83,20.55,0,0.19
59,기피편,219.97,48.99,5.45,0.25,281.06,2.08,0,0.13
60,녹두시루떡,246.07,48.08,7.74,2.53,263.66,4.05,0,0.52
61,메밀전병,167.83,21.62,6.18,6.29,345.8,0.62,8.05,1.19
62,무지개떡,228.97,53.01,3.53,0.31,276.82,8.99,0,0.16
63,송편(깨),224.15,44.96,4.92,2.74,231.82,1.15,0,0.48
64,송편(콩),194.33,41.66,5.24,0.75,233.5,1.26,0,0.24
65,수수부꾸미,247.89,42.1,5.73,6.29,261,0.24,0,0.97
66,수수팥떡,204.24,43.03,6.7,0.59,241.93,2.82,0,0.16
67,시루떡,217.48,47.54,5.47,0.61,277.91,3.22,0,0.24
68,쑥떡,248.63,57.89,3.36,0.4,254.32,10.72,0,0.2
69,절편,192.89,43.94,3.64,0.28,265.87,0.07,0.03,0.19
70,찹쌀떡,276.87,65.61,3.26,0.15,225.61,17.54,0,0.15
71,간자장,824.54,134.22,22.33,22.03,2716.2,12.16,28.73,9.71
72,굴짬뽕,680.67,115.69,32.87,9.6,2662.35,1.7,163.31,1.41
73,기스면,606.93,89.79,37.82,10.72,2764.59,0.5,416.54,2.12
74,김치라면,552,86.2,13.8,16.9,2531.6,1.2,45.65,6.8
75,김치우동,500.18,99.14,15.55,4.6,2874.6,2.13,14.13,0.83
76,냉김치말이국수,302.53,52,12.9,4.8,2121.62,8.3,88.95,1.1
77,닭칼국수,663,94.7,42.2,12.8,2125.17,5.3,95.67,2.5
78,둘깨칼국수,457.88,59.8,17.6,16.5,1192.57,1.4,3.36,1.5
79,막국수,571.59,109.8,20,5.8,3260.05,9.4,43.17,1
80,삼선우동,691.66,105.9,47.94,8.48,2722.32,0.8,620.9,2.02
81,삼선자장면,803.9,126.53,33.64,18.14,2628.24,10.15,166.56,4.06
82,삼선짬뽕,662.37,101.73,39.63,10.77,2689.13,1.09,312.48,1.91
83,쌀국수,320.32,55.1,15.6,4.2,1651.58,4.3,33.6,1.4
84,열무김치국수,431,69.6,15,10.2,3007.45,18.6,15.37,0.6
85,열무냉면,525.49,97.52,20.84,5.78,3152.37,27.15,67.78,1.36
86,오일소스스파게티,646.74,89.42,19.56,23.43,1124.33,1.41,31.62,3.89
87,올갱이국수,566,111.6,11.2,8.3,3862.84,18.6,0,1.5
88,우동(일식),421.51,74.2,13.39,7.91,2390.32,2.48,25.98,1.49
89,우동(중식),648.47,85.37,29.45,21.02,3395.86,1.1,208.42,3.35
90,울면,728.86,128.18,37.46,7.37,2799.92,0.5,445.79,1.85
91,자장면,796.5,133.63,19.77,20.32,2391.58,7.8,10.76,8.52
92,짬뽕라면,689,92,21.3,26.3,2493.81,1.6,106.69,8.6
93,치즈라면,595,80,16.8,23,2113.4,0.9,103.67,9.4
94,크림소스스파게티,837.57,73.76,21.79,50.59,1030.21,9.17,126.58,25.67
95,토마토소스스파게티,642.58,93.2,24.35,19.15,1508.63,15.6,49.17,5.44
96,해물칼국수,628.26,123.9,22.8,4.61,2355.07,3.81,26.7,1.3
97,해물크림소스스파게티,917.57,86.97,30.39,49.79,1323.7,8.36,210.89,24.73
98,해물토마토소스스파게티,584.44,87.24,27.97,13.73,1533.16,13.48,159.64,3.14
99,골뱅이무침,108.79,15.69,7.08,1.97,525.52,10.46,38.35,0.26
100,노각무침,84,14.3,2.6,1.8,817.37,7.1,0,0.2
101,단무지무침,20,2.8,0.5,0.8,428.92,0.7,0,0.1
102,달래나물무침,136,23.8,4,2.8,867.04,11.2,0,0.3
103,더덕무침,216,43.4,4.3,2.8,1246.58,20.2,0.17,0.4
104,도토리묵,45.6,10.38,0.29,0.32,124.15,0.43,0,0.03
105,밴댕이무침,600.01,46,29.8,33,1027.23,27,101.51,4.6
106,서대회무침,315.21,45.9,22.6,4.6,1198.9,22.3,67.71,0.5
107,쑥갓나물무침,96,6.6,4.5,5.7,709.99,0.3,0.05,0.7
108,우거지나물무침,129,8.7,4.5,8.5,772.52,1.5,1.31,1
109,쥐치채,55.92,10.89,2.75,0.15,296.34,4.55,8.57,0.19
110,청포묵무침,149,22.7,2.9,5.2,724.02,1.8,0,0.8
111,탕평채,97.5,12.26,3.55,3.81,260.4,0.39,47.24,0.73
112,홍어무침,198.94,25.95,17.85,2.63,802.04,14.46,57.03,0.36
113,고추장불고기 삼각김밥,165.29,34.11,3.66,1.58,342.92,0.21,3.51,0.45
114,곤드레나물밥,521.83,98.9,10.3,9.5,90.62,0,0,0.9
115,국밥,418.35,58.6,27.6,8.2,2301.55,0.4,47.81,2.7
116,농어초밥,396.74,78.75,17.43,1.34,1035.04,13.01,26.5,0.65
117,돼지국밥,911.4,74.7,66.4,38.6,1096.58,0,142.55,8.4
118,류산슬덮밥,574.99,73.95,26.96,19.04,1579.35,0.42,120.87,3.39
119,멍게비빔밥,547.21,90.7,16.6,13.1,1144.8,16.7,21.9,2.4
120,멸치주먹밥,312,54.3,9,6.6,496.21,0.9,42.45,1.1
121,묵밥,642.16,128.6,14.8,7.7,2075.5,15.1,42.65,1.5
122,문어초밥,392.23,81.78,14.61,0.74,1200.86,13.38,70.08,0.35
123,비빔밥,691.62,98.7,24.6,22,1119.66,18.3,95.42,3.9
124,삼선볶음밥,686.11,85.75,26.24,26.46,1213.56,1.58,326.52,6.33
125,새우초밥,387.67,78.42,16.8,0.75,1110.29,11.65,72.65,0.55
126,새우튀김롤,606.5,96.28,14.47,18.17,1391.43,11.14,55.87,3.41
127,샐러드김밥,405.95,61.45,9.62,13.52,911.18,3.42,84.58,2.79
128,생선초밥(광어),453.78,77.55,27.07,3.92,808.75,7.7,46.74,1.06
129,생선초밥(모듬),461.97,76.43,25.42,6.06,968.94,8.65,70.87,1.51
130,소고기국밥,330.53,42.6,21.8,8.1,1786.31,2.8,41.85,2.3
131,소고기김밥,400.61,62.52,15.98,9.63,1061.19,0.84,93.09,2.53
132,송이덮밥,581.81,95.6,18.21,14.06,1678.01,2.27,48.2,2.79
133,숯불갈비 삼각김밥,161.24,32.55,4,1.67,358.36,0.16,4.04,0.53
134,약초비빔밥,511.8,80.2,11.9,15.9,971.61,2.9,0,2.4
135,연어롤,510.19,74.32,18.57,15.4,1211.9,8.47,61.97,2.83
136,연어초밥,447.32,71.04,18.88,9.74,1064.38,12.88,32.05,1.84
137,오곡밥,388.82,82.32,11.95,1.3,113.9,0.17,0,0.42
138,자장밥,741.66,120.06,15.24,22.28,1560.38,5.37,26.43,8.56
139,잡탕밥,777.44,104.94,44.12,20.13,2109.52,0.48,329.85,4.07
140,장어덮밥,716.54,97.35,30.09,22.98,920.77,5.59,234.56,5.18
141,장어초밥,486.26,80.68,16.52,10.83,1270.91,13.67,102.77,2.91
142,참치덮밥,679.1,102.93,29.2,16.73,1618.74,2.98,115.79,3.41
143,참치마요네즈 삼각김밥,172.4,31.95,3.94,3.2,282.1,0.02,4.41,0.6
144,충무김밥,583.93,109.16,23.42,5.96,1294.27,17.19,156.85,1.1
145,캘리포니아롤,487.64,89.23,12.33,9.05,1295.88,8.9,65.96,2.14
146,한치초밥,374.18,77.92,13.71,0.85,1199.31,13.13,100.06,0.45
147,해물덮밥,771.93,100.45,42.04,22.44,1802.68,1.19,286.24,5.41
148,해물볶음밥,705.22,90.46,25.1,27,1074.35,1.22,241.8,5.38
149,회덮밥,683.02,103.3,30.21,16.55,744.27,10.93,88.65,2.9
150,깻잎나물볶음,206,11.5,7.5,14.4,1042.68,0.6,0,1.7
151,돼지고기볶음,350.67,18.21,22.96,20.67,1051.76,8.2,57.87,5.12
152,돼지껍데기볶음,352,24.5,25.8,16.7,779.81,5.5,47.75,4.9
153,두부김치,288.21,14.08,19.47,17.11,989.69,1.49,13.92,3.17
154,머위나물볶음,108,7.6,3.5,7,718.63,1.8,0,0.8
